first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,state,age
Chickie,Brister,Male,86,1957-07-12,Manufacturing,Mass Customer,Yes,QLD,63.0
Morly,Genery,Male,69,1970-03-22,Property,Mass Customer,No,NSW,50.0
Ardelis,Forrester,Female,10,1974-08-28,Financial Services,Affluent Customer,No,VIC,46.0
Lucine,Stutt,Female,64,1979-01-28,Manufacturing,Affluent Customer,Yes,QLD,41.0
Melinda,Hadlee,Female,34,1965-09-21,Financial Services,Affluent Customer,No,NSW,55.0
Druci,Brandli,Female,39,1951-04-29,Entertainment,High Net Worth,Yes,QLD,69.0
Rutledge,Hallt,Male,23,1976-10-06,Financial Services,Mass Customer,No,NSW,43.0
Nancie,Vian,Female,74,1972-12-27,Retail,Mass Customer,Yes,QLD,47.0
Duff,Karlowicz,Male,50,1972-04-28,Manufacturing,Mass Customer,Yes,NSW,48.0
Barthel,Docket,Male,72,1985-08-02,IT,Mass Customer,Yes,QLD,35.0
Rockwell,Matson,Male,94,1995-01-01,Retail,High Net Worth,No,QLD,25.0
Wheeler,Winward,Male,48,1999-08-30,Manufacturing,Mass Customer,No,VIC,21.0
Olag,Winward,Male,60,1990-05-13,Telecommunications,Mass Customer,No,NSW,30.0
Melba,Spellacy,Female,38,1976-12-09,Health,Mass Customer,No,NSW,43.0
Mandie,Feares,Female,32,1964-04-19,Health,Mass Customer,No,QLD,56.0
Dukie,Swire,Male,88,1954-03-31,Manufacturing,Affluent Customer,Yes,NSW,66.0
Marcelia,Monkleigh,Female,61,1993-08-22,Manufacturing,Mass Customer,Yes,QLD,27.0
Winnifred,Beswetherick,Female,83,1976-06-08,Financial Services,Mass Customer,No,VIC,44.0
Odilia,Quick,Female,65,1938-11-09,Manufacturing,Affluent Customer,Yes,NSW,81.0
Karly,Willavize,Female,2,1954-08-12,Manufacturing,High Net Worth,No,NSW,66.0
Teddie,Burchill,Male,11,1968-12-21,Manufacturing,Mass Customer,Yes,NSW,51.0
Gaston,Dallaghan,Male,44,1993-09-29,Financial Services,Mass Customer,Yes,NSW,26.0
Brena,Schnitter,Female,78,1982-10-11,Manufacturing,Mass Customer,No,QLD,37.0
Rourke,Gillbard,Male,11,1945-08-03,Property,Mass Customer,No,QLD,75.0
Dyane,Burwell,Female,19,1952-06-27,Retail,Mass Customer,Yes,NSW,68.0
Claudine,Barstowk,Female,71,1966-07-20,Property,High Net Worth,Yes,QLD,54.0
Blinnie,Roze,Female,84,1960-12-10,Entertainment,High Net Worth,No,QLD,59.0
Rhona,De Freyne,Female,45,1960-11-22,Health,High Net Worth,No,VIC,59.0
Sharron,Claibourn,Female,62,1980-01-26,Financial Services,High Net Worth,Yes,NSW,40.0
Brien,Heaton,Male,70,1951-11-28,Health,Mass Customer,Yes,NSW,68.0
Sybilla,MacCart,Female,88,1987-01-15,Financial Services,Mass Customer,Yes,NSW,33.0
Maisie,Maddox,Female,27,1977-05-09,Financial Services,Affluent Customer,No,VIC,43.0
Arleen,Casbolt,Female,48,1975-05-10,Financial Services,Affluent Customer,Yes,QLD,45.0
Mitchell,MacCague,Male,58,1979-04-11,Manufacturing,Mass Customer,No,VIC,41.0
Garik,Whitwell,Male,44,1955-06-13,Property,Mass Customer,Yes,VIC,65.0
Antonin,Britt,Male,64,1993-08-28,Manufacturing,Affluent Customer,Yes,NSW,27.0
Vinny,Incogna,Female,73,1953-02-13,Health,High Net Worth,No,NSW,67.0
Colene,Fishleigh,Female,24,1985-03-14,Financial Services,Mass Customer,No,VIC,35.0
Neile,Argent,Female,79,1946-10-25,Retail,Mass Customer,No,NSW,73.0
Gipsy,Ewestace,Female,29,1956-08-30,Retail,High Net Worth,Yes,NSW,64.0
Sheena,Kybbye,Female,14,1956-07-16,Financial Services,Affluent Customer,Yes,QLD,64.0
Gale,Disbrow,Female,59,1977-05-14,Financial Services,Mass Customer,Yes,VIC,43.0
Thaxter,Kingsbury,Male,12,1950-05-03,Argiculture,Mass Customer,No,NSW,70.0
Heinrick,Shilstone,Male,60,1978-02-11,Manufacturing,Affluent Customer,No,VIC,42.0
Taylor,Steuhlmeyer,Male,62,1999-03-22,Financial Services,Affluent Customer,Yes,QLD,21.0
Griswold,Kelsall,Male,55,1993-12-19,Health,High Net Worth,Yes,VIC,26.0
Odessa,Mc Andrew,Female,97,1981-12-01,Property,Mass Customer,No,NSW,38.0
Lavena,Seekings,Female,87,1995-03-25,Retail,Mass Customer,No,VIC,25.0
Martelle,Tuppeny,Female,52,1981-02-03,Manufacturing,Mass Customer,No,NSW,39.0
Briant,Ladley,Male,75,1979-12-17,Argiculture,Mass Customer,No,NSW,40.0
Lorrie,Antonelli,Male,47,1983-02-11,Financial Services,High Net Worth,Yes,NSW,37.0
Jedediah,Kedie,Male,31,1971-12-29,Argiculture,Mass Customer,Yes,NSW,48.0
Kaine,Smallcombe,Male,59,1942-02-06,Financial Services,High Net Worth,No,NSW,78.0
Loise,Iltchev,Female,70,1967-03-18,Manufacturing,High Net Worth,Yes,QLD,53.0
